ZIP,MedianIncome
04105,107194
04106,59979
04107,106343
04108,67000
04109,62589
04110,162227
04210,48363
04216,42500
04217,47333
04219,45813
04220,45663
04221,50417
04222,73750
04224,33445
04226,50096
04227,36324
04228,
04231,45313
04234,29516
04236,66303
04237,73906
04238,58250
04239,59769
04240,39890
04250,48199
04252,58179
04253,57944
04254,31154
04255,63250
04256,60462
04257,44306
04258,67961
04259,66985
04260,65446
04261,53125
04263,53705
04265,56050
04267,83000
04268,41034
04270,51359
04271,
04274,63359
04275,47750
04276,30777
04280,60225
04281,42857
04282,61688
04284,64773
04285,49219
04286,
04287,55125
04289,44531
04290,54010
04292,48750
04294,45158
04330,44127
04342,70129
04343,
04344,34845
04345,54180
04346,46893
04347,54464
04348,53830
04349,61667
04350,69706
04351,70455
04352,53906
04353,45147
04354,48882
04355,74559
04357,51563
04358,53257
04359,
04360,50938
04363,55025
04364,67207
04401,46493
04406,37188
04408,49375
04410,45063
04411,51172
04412,56354
04413,46917
04414,36713
04415,34583
04416,38125
04417,32955
04418,43021
04419,62716
04421,55313
04422,50417
04424,32333
04426,43395
04427,54000
04428,56702
04429,58726
04430,37542
04431,53750
04434,46528
04435,45789
04438,43438
04441,48426
04442,
04443,37500
04444,76087
04448,39688
04449,51523
04450,61761
04451,30536
04453,39605
04454,
04455,42917
04456,57326
04457,39842
04459,32279
04460,40583
04461,60075
04462,33266
04463,30388
04464,38125
04468,38077
04469,
04471,37167
04472,55815
04473,44427
04474,57127
04475,42031
04476,47188
04478,29844
04479,41711
04481,39779
04485,60625
04487,32083
04488,64141
04489,52125
04490,48750
04491,33750
04492,42500
04493,48344
04495,39450
04496,68571
04497,26429
04530,47760
04535,65833
04537,62117
04538,44013
04539,56364
04541,171406
04543,54671
04544,65938
04547,54948
04548,60417
04551,60556
04553,64216
04554,48194
04555,59348
04556,57798
04558,85536
04562,72431
04563,54028
04564,63125
04568,42875
04570,
04571,47029
04572,40045
04573,60833
04574,48355
04575,138333
04576,50074
04578,45130
04579,74148
04605,52645
04606,37656
04607,48063
04609,53053
04611,50192
04612,60000
04613,72083
04614,48043
04616,44219
04617,60833
04619,34845
04622,40156
04623,45885
04624,50795
04625,43000
04626,49853
04627,46652
04628,44653
04629,
04630,40893
04631,29375
04634,40953
04635,63250
04637,45179
04640,45473
04642,86563
04643,37446
04644,
04645,
04646,56071
04648,41136
04649,37941
04650,
04652,34301
04653,41394
04654,38232
04655,53125
04657,49063
04658,39457
04660,77250
04662,53542
04664,45000
04666,42885
04667,37083
04668,32500
04669,54531
04671,63929
04673,38750
04674,62917
04675,
04676,46042
04677,56719
04679,57188
04680,39375
04681,40375
04683,72589
04684,58625
04685,62188
04686,33750
04691,54375
04693,38875
04694,45694
04730,40833
04732,39420
04733,48750
04734,45438
04735,44583
04736,39933
04739,37031
04740,40455
04741,
04742,30076
04743,41070
04745,48542
04746,29643
04747,37933
04750,38413
04756,38354
04757,53784
04758,39464
04760,37500
04761,49500
04762,36591
04763,37000
04764,45625
04765,36250
04766,42917
04768,42292
04769,37036
04772,36583
04773,57039
04774,26953
04776,40435
04777,31625
04779,32500
04780,43409
04781,36417
04783,38750
04785,29583
04786,45286
04787,37614
04841,40486
04843,52500
04847,56563
04848,59635
04849,57635
04851,33750
04852,44375
04853,63125
04854,57407
04855,125714
04856,62625
04858,54107
04859,50529
04860,60658
04861,46993
04862,55719
04863,52045
04864,57000
04901,41399
04910,48571
04911,33866
04912,32159
04915,52226
04917,73144
04918,52031
04920,32684
04921,34485
04922,36250
04923,29821
04924,42332
04925,55313
04926,
04927,46625
04928,36719
04929,38750
04930,33990
04932,51797
04933,
04936,72500
04937,46332
04938,40439
04939,43750
04940,
04941,51389
04942,30352
04943,31472
04944,
04945,36667
04947,48194
04949,37262
04950,40080
04951,42250
04952,49267
04953,47750
04955,51364
04956,51786
04957,48549
04958,50511
04961,44688
04962,65370
04963,50082
04964,
04965,45769
04966,36477
04967,47765
04969,52404
04970,48981
04971,53199
04973,48500
04974,34242
04975,
04976,35884
04978,60927
04979,54417
04981,56078
