"","ZIP","MedianIncome","PopulationPerHousingUnit","PopulationPerSqKm"
"56","28524",24867,1.17829457364341,15.8504579123584
"57","28530",36357,1.96082599453386,34.9729604707094
"58","28556",41961,1.70686767169179,7.49743435988111
"59","28573",44083,1.80245829675154,10.4669293967116
"60","28621",47034,2.23193027210884,57.4419436799965
"61","28631",37581,1.02122347066167,12.5387716705321
"62","28644",33750,0.82679496669134,6.27505146478581
"63","28675",34069,1.68334131163236,23.1728618011197
"64","28684",41163,1.25929861849097,17.245334407505
"65","28405",54544,2.16312056737589,508.246036478758
"66","28442",37002,1.87234042553191,10.7758805189056
"67","28444",52668,1.60687960687961,8.21613918257103
"68","28466",36938,1.94191391558713,18.8687325138547
"69","28718",43512,1.25172413793103,8.40905415973645
"70","28722",48028,1.80317371937639,54.8823714153965
"71","28077",24063,1.84126984126984,305.668991358597
"72","28097",57782,2.29467321496033,77.1469484832835
"73","28103",55116,2.4583692838654,28.1684642925601
"74","28105",75329,2.54070251373398,737.84416171327
"75","28110",57969,2.76918300822683,158.233689289396
"76","28124",59167,2.26730135481509,41.870871543585
"77","28127",54657,1.46696528555431,38.4257963136244
"78","28137",52167,2.36734693877551,27.1048829589572
"79","28139",45053,2.18756541762612,46.0661683128331
"80","28212",39439,2.61901759614834,1899.88910863349
"81","28217",49230,2.5325066735555,760.479467797964
"82","28227",57752,2.66480313455657,551.252615548711
"83","29440",37146,2.0964154204554,18.8096638187734
"84","29450",55841,2.40868974881195,9.3489851503336
"85","29452",32721,2.40796019900498,2.95043784892071
"86","29456",60415,2.59926970108696,646.406385931717
"87","29477",37041,2.19678334910123,24.2152809460515
"88","29525",35662,2.44759825327511,17.3455320437543
"89","29340",35054,2.31784140969163,49.249427941896
"90","29353",46377,1.96398503274088,17.3084639328178
"91","29364",28571,1.78947368421053,63.16818205114
"92","29369",75273,2.44980137233658,181.39088963554
"93","29370",52917,1.99495798319328,9.57070717033299
"94","29374",46721,2.41543408360129,27.8900174537784
"95","29385",46875,2.60006637902423,155.43611351
"96","29448",20357,2.4908306364617,18.2937913472285
"97","29466",103538,2.65761511216057,442.651218885786
"98","29472",46339,2.97074895531983,19.1411004548887
"99","29488",36409,2.25613747954174,36.915546981207
"100","29501",49658,2.24758407421724,331.454257124081
"101","29510",36268,2.14712502557806,13.2438981527581
"102","29541",49570,2.59486486486486,47.1210206716819
"103","29943",30082,1.62732919254658,4.3086573111481
"104","29482",135577,1.97426470588235,262.865213894386
"105","29485",66958,2.68779176686943,608.532259409395
"106","29518",34063,1.89454545454545,8.2714106018258
"107","29547",26627,2.53525179856115,34.1841409983603
"108","29568",45759,1.99075052854123,62.9809306650324
"109","29615",60185,2.07095355866996,750.222377964348
"110","29640",45804,2.24357550174035,133.304243810742
"111","29643",62813,1.20484708597807,24.659317559126
"112","29649",48726,2.23399966403494,184.029138524623
"113","29661",50328,2.10479256080114,32.8574320644236
"114","29664",41589,1.63579277864992,8.36541787122892
"115","29666",46553,2.06627070959675,20.0928603756948
"116","29673",56091,2.58331128164417,160.005995566811
"117","29676",67484,1.48766124509254,23.6350888485255
"118","29682",56593,1.89416623644812,45.2426937065641
"119","29687",53318,2.42220654793393,332.118533741768
"120","29693",41875,1.91994138803783,32.421417742348
"121","29710",68716,2.43638253638254,115.106078359465
"122","29714",43425,2.13382352941176,33.0033708521419
"123","29717",47852,2.49110320284698,13.9722607742814
"124","29439",77206,0.866915887850467,245.817019765247
"125","29373",43750,3.00617283950617,257.765900303857
"126","29404",49063,4.16176470588235,149.883645503708
"127","29435",36357,2.26656314699793,24.6015870207985
"128","29449",51266,2.07559015570065,35.3302282198948
"129","29458",38155,2.14285714285714,6.84309220725832
"130","29461",58946,2.57189361407397,82.5294964691425
"131","29464",86446,2.15227044235925,566.109419594624
"132","29470",53583,2.43781094527363,22.3748858570095
"133","29474",35417,1.79495798319328,7.33999749402483
"134","29203",30830,2.24291957545831,237.093433029907
"135","29209",53319,2.21994580662217,246.157783468636
"136","29302",58058,2.24371526858957,130.294529335758
"137","29571",32764,2.13048063884285,28.1678176891344
"138","29307",46404,2.01389197599467,153.28789556336
"139","29316",58903,2.5971034214619,472.517879057515
"140","29570",26981,1.97905759162304,27.1812009882746
"141","29577",40416,1.41586934270838,508.694131669652
"142","29580",30179,1.78609625668449,7.39888223529545
"143","29593",25469,1.54967502321263,7.8667093278629
"144","29617",37907,2.4029484029484,465.107462257764
"145","29621",56887,2.28205842997324,180.510698456156
"146","29626",45272,2.2188879082083,78.6020135668488
"147","29631",42886,2.2721964365923,626.24649052694
"148","29644",60683,2.63457711442786,99.0653145037093
"149","29658",48250,2.47979797979798,7.48078926129794
"150","29690",54071,2.66097421203438,83.2286895016359
"151","29692",38237,2.09377777777778,37.1001304329435
"152","29696",53537,2.16218386190285,84.6371920773267
"153","29727",41838,2.10058309037901,11.2657470833085
"154","29810",22096,1.82147477360931,13.2490584550965
"155","29840",16382,1.5990099009901,3.38852170446136
"156","29848",45179,1.71467391304348,2.57603874933221
"157","29939",26875,1.80660377358491,13.7460508213266
"158","29046",31429,1.44444444444444,22.039593742654
"159","29101",33878,2.14158636026686,10.2541080253747
"160","29168",34226,2.50031466331026,13.2656925241576
"161","29940",39194,2.39408284023669,23.1923962429028
"162","29137",39777,1.64942016057092,8.32978696970098
"163","29153",43095,2.0323897659227,40.2998606536843
"164","29162",40625,2.34307692307692,35.0075043420197
"165","29169",43085,1.94074193030352,755.401141544895
"166","29202",74602,1.12295081967213,11243.8102677333
"167","29148",34049,1.45657672849916,15.0872924748624
"168","29320",NA,4.73023255813953,698.619803365751
"169","29453",34167,1.96200345423143,3.13760263361288
"170","29581",35175,2.05261075949367,12.302666473076
"171","29657",48724,2.40658174097665,95.820713429343
"172","29569",34656,2.42512410369553,38.8944188583073
"173","29607",57536,2.14424134499555,543.198084409463
"174","29741",42043,2.10234741784038,23.2015542404208
"175","29902",52813,2.29528643944888,230.522138135328
"176","29944",32143,1.93446601941748,11.6173501188155
"177","29945",34685,2.1398773006135,8.78318518012217
"178","29712",54878,2.31717597471022,30.4234054710512
"179","29520",39784,2.1458140253321,39.2841365815049
"180","29642",66813,2.43916779737675,249.710596650417
"181","29667",46250,2.12096774193548,193.863171638973
"182","29689",49821,1.45757688032605,31.7462732943482
"183","29080",32857,2.04214285714286,8.33394109430435
"184","29146",32188,1.74819401444788,10.2624369003274
"185","29045",63179,2.58320824577204,140.489040617014
"186","29118",47458,2.28450218745857,84.9434894040878
"187","29372",44000,2.03519061583578,37.6407798932016
"188","29492",102106,2.35120213713268,85.4040947865709
"189","29020",41215,2.0069372832099,35.4821928372142
"190","29044",40593,2.31121642969984,16.1757005017577
"191","29036",84514,2.34294940796555,118.845911053997
"192","29037",25125,1.11030741410488,3.43281493862731
"193","29039",42292,2.10243350311262,55.1056931582757
"194","29040",49167,2.42208532968287,72.5601110096586
"195","29042",26054,1.74074074074074,29.6869926688322
"196","29208",NA,Inf,4776.84287203939
"197","29126",55784,1.99119373776908,9.86271937032805
"198","29117",NA,Inf,4261.63829541162
"199","29147",NA,NA,0
"200","29225",NA,Inf,30936.9361400184
"201","29324",24167,1.6969696969697,580.74943021822
"202","29329",NA,2.57291666666667,400.255528490471
"203","29331",NA,1.52755905511811,41.7631728916266
"204","29333",61429,2.34274193548387,589.940796038676
"205","29346",49250,2.02068965517241,521.589092328807
"206","29368",NA,2.08695652173913,229.248210637146
"207","29378",NA,1.73267326732673,859.918383063503
"208","29409",NA,533.2,17747.7718439396
"209","29410",65329,2.57655421414871,775.420833128118
"210","29424",NA,Inf,8197.51531621584
"211","29588",49432,2.34112245950686,411.469057610131
"212","29613",NA,Inf,1034.57741566845
