ZIP,MedianIncome,PopulationPerHousingUnit,PopulationPerSqKm
01255,75664,1.076431269979657,10.290434559456665
01256,67790.5,1.9097922848664688,10.19866030276375
01257,76490.5,1.5887982984757179,17.930754631657113
01258,71743,1.2826370757180157,14.410542224907102
01259,76731,1.2700871248789933,10.569554455919398
01260,71369,2.07942238267148,82.3365750259896
01262,59931,1.7332734620565784,58.80015064721775
01263,48493,1.163895486935867,31.95543411418702
01264,72115,0.9885151763740772,10.056468016417533
01266,65406,1.237279843444227,20.56336751667781
01267,82853.33333333333,2.143605870020964,34.28056789176458
01270,66905,2.0118214716525933,38.75855018054675
01301,58521,2.135939241917503,76.4652054838006
01302,32462,1.7789799072642967,1923.6210698600503
01330,70348,1.8951535836177476,20.192710665961037
01331,61284.28571428572,2.223989842407947,48.07645268983341
01337,67620,2.2509053285049148,29.8986886909531
